2019-09-19T11:49:44.7851392+01:00 (0.0549222693335835, 0.0380236952509841) 
2019-09-19T11:50:08.2000256+01:00 (0.220259369802782, 0.449231829587012) 
2019-09-19T11:50:35.4610560+01:00 (0.441607785267573, 0.51117832481916) 
2019-09-19T11:50:59.6422528+01:00 (0.180268850145055, -0.338792627020177) 
2019-09-19T11:51:19.1941888+01:00 (0.125611880270583, -0.517370996422773) 
2019-09-19T11:52:04.5708800+01:00 (0.663166854722969, 0.412072880269062) 
2019-09-19T11:52:50.6540672+01:00 (0.407016218480196, -0.401115314639693) 
2019-09-19T11:53:15.1512576+01:00 (0.34102386100731, -0.417424475386471) 
2019-09-19T11:53:55.7853184+01:00 (0.0476449361525686, -0.638621998433313) 
2019-09-19T11:54:14.2840448+01:00 (-0.306347020229486, 0.664927136113368) 
2019-09-19T11:54:46.1709440+01:00 (0.292590915943771, 0.120571753881207) 
2019-09-19T11:54:59.8279680+01:00 (0.425237243843841, 0.187710941507346) 
2019-09-19T11:55:57.2311296+01:00 (0.294138583375205, 0.526601131435763) 
2019-09-19T11:56:54.6056704+01:00 (0.141755414610615, 0.375950814981922) 
2019-09-19T11:57:37.2349312+01:00 (0.448063261666365, 0.718126576844662) 
2019-09-19T11:57:51.5038080+01:00 (-0.460636228188237, 0.0314148684411378) 
2019-09-19T11:58:31.0481024+01:00 (0.129208443862949, 0.698323452588321) 
2019-09-19T11:58:49.5745280+01:00 (-0.420007381201725, 0.326009142713626) 
2019-09-19T11:59:19.8670976+01:00 (0.28219847638728, 0.0142338787038969) 
2019-09-19T12:00:05.9066368+01:00 (0.309099169242708, 0.101884999243489) 
